Address,Price,Bathrooms,Bedrooms,Area,Property Type
"DHA Phase 6, Lahore",20 Lac,0,0,4 marla,commercial
"Bahria Town Phase 8, Rawalpindi",2.9 Crore,5,5,7 marla,residential
"Bahria Town Phase 8, Rawalpindi",3.1 Crore,5,5,7 marla,residential
"Jubilee Town, Lahore",80 Lac,2,2,600 sqft,residential
"DHA Phase 2, Islamabad",10 Crore,5,5,1 kanal,residential
"Bahria Town Phase 8, Rawalpindi",1.05 Crore,0,0,480 sqft,commercial
"DHA Phase 2, Islamabad",9.5 Crore,5,5,1 kanal,residential
"DHA Phase 7, Lahore",3.1 Crore,4,5,5 marla,residential
"DHA Town Phase 9, Lahore",5.97 Crore,5,6,10 marla,residential
"Bahria Town - Sector B, Lahore",1.95 Crore,3,4,5 marla,residential
"Bani Gala, Islamabad",3.5 Crore,5,5,10 marla,residential
"Jubilee Town, Lahore",60 Lac,2,2,700 sqft,residential
"DHA Homes, Islamabad",1.73 Crore,3,3,8 marla,residential
"Bahria Town Phase 8, Rawalpindi",95 Lac,0,0,410 sqft,commercial
"Askari 11, Lahore",2.9 Crore,3,3,2250 sqft,residential
"Bahria Town Phase 8, Sector H, Rawalpindi",4.2 Crore,5,6,10 marla,residential
"Bahria Town Phase 8, Sector H, Rawalpindi",4.1 Crore,5,6,10 marla,residential
"Bahria Town Phase 7, Rawalpindi",9.3 Crore,6,7,20 marla,residential
"Bahria Town Phase 4, Islamabad",4.8 Crore,5,5,10 marla,residential
"Bahria Town Phase 8, Block Rafi, Rawalpindi",3.7 Crore,4,5,8 marla,residential
"CBR Town, Islamabad",6.5 Crore,6,6,12 marla,residential
"DHA Homes, Islamabad",1.72 Crore,3,3,8 marla,residential
"Jubilee Town, Lahore",75 Lac,2,2,1000 sqft,residential
"Bahria Town Phase 8, Rawalpindi",12.5 Crore,0,0,6 marla,commercial
"DHA Homes, Islamabad",1.74 Crore,3,3,8 marla,residential
"Johar Town, Lahore",2.5 Crore,5,5,5 marla,residential
"Johar Town, Lahore",2.8 Crore,5,5,5 marla,residential
"DHA Homes, Islamabad",1.7 Crore,3,3,8 marla,residential
"Bahria Town Phase 7, Rawalpindi",45 Lac,0,0,150 sqft,commercial
"Lehtrar Road, Islamabad",1.5 Crore,4,4,5 marla,residential
"Jubilee Town, Lahore",75 Lac,2,2,1000 sqft,residential
"Bhara Kahu, Islamabad",21 Lac,0,0,700 sqft,commercial
"DHA Phase 7, Lahore",3.19 Crore,4,5,5 marla,residential
"Wapda Town Phase 1, Lahore",2.65 Crore,5,5,5 marla,residential
"Bahria Town Phase 7, Rawalpindi",5 Crore,5,6,10 marla,residential
"Gulberg 3, Lahore",35 Crore,0,0,1 kanal,commercial
"Adyala Road, Rawalpindi",62 Lac,0,0,124 sqft,commercial
"DHA Phase 6, Lahore",10 Crore,4,4,1 kanal,residential
