Address,Price,Bathrooms,Bedrooms,Area,Property Type
"Bahria Town Phase 4, Islamabad",5.3 Crore,5,6,10 marla,residential
"Phase 8, Bahria Town, Sector L, Rawalpindi",3.65 Crore,5,6,10 marla,residential
"Johar Town, Lahore",2.5 Crore,5,5,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",3 Crore,5,5,7 marla,residential
"Jubilee Town, Lahore",60 Lac,1,1,520 sqft,residential
"G-8, Islamabad",44 Crore,0,0,160 sqyd,commercial
"Bahria Town Phase 6, Islamabad",4.5 Crore,5,6,10 marla,residential
"Adyala Road, Rawalpindi",1.05 Crore,0,0,127 sqft,commercial
"Bani Gala, Islamabad",2.15 Crore,4,4,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",98 Lac,2,2,890 sqft,residential
"Bahria Town Phase 4, Islamabad",23 Crore,0,0,10 marla,commercial
"Anarkali, Lahore",6.5 Crore,0,0,3 marla,commercial
"Bani Gala, Islamabad",3.7 Crore,6,5,1 kanal,residential
"I-8, Islamabad",5.25 Crore,0,0,385 sqft,commercial
"Faisal Margalla City, Islamabad",57 Lac,0,0,170 sqft,commercial
"Bahria Enclave, Sector N, Islamabad",2.3 Crore,4,4,5 marla,residential
"Bahria Town Phase 8-Khalid Block, Rawalpindi",4.1 Crore,5,6,10 marla,residential
"DHA Phase 7, Lahore",3.16 Crore,4,5,5 marla,residential
"College Road, Lahore",28 Crore,0,0,3 kanal,commercial
"Defence Road, Rawalpindi",70 Lac,2,2,4 marla,residential
"DHA Phase 4, Lahore",7.3 Crore,6,6,1 kanal,residential
"Bahria Town Phase 4, Islamabad",4.4 Crore,5,6,10 marla,residential
"Shalimar Town, Islamabad",59.9 Lac,Studio,1,402 sqft,residential
"Bahria Enclave, Sector A, Islamabad",7.9 Crore,0,0,4 marla,commercial
"Gulberg, Lahore",94 Lac,0,0,330.27 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",3.25 Crore,5,5,7 marla,residential
"Bahria Town Phase 7, Rawalpindi",16 Crore,5,5,25 marla,residential
"Soan Garden, Islamabad",3.4 Crore,4,4,7 marla,residential
"Faisal Margalla City, Islamabad",2.85 Crore,4,4,5 marla,residential
"Bahria Town - Sector E , Lahore",1.6 Crore,0,0,400 sqft,commercial
"Phase 8, Bahria Town, Sector L, Rawalpindi",3.6 Crore,5,6,10 marla,residential
"Soan Garden, Islamabad",2.9 Crore,4,4,6 marla,residential
"Phase 8, Bahria Town, Sector N, Rawalpindi",1.65 Crore,3,4,5 marla,residential
"Lahore Cantt, Lahore",1.75 Crore,0,0,292 sqft,commercial
"Cavalry Ground, Lahore",3.5 Crore,0,0,4.5 marla,commercial
"Adyala Road, Rawalpindi",2.4 Crore,0,0,304 sqft,commercial
"Adyala Road, Rawalpindi",50 Lac,0,0,96 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",90 Lac,0,0,410 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",4.9 Crore,5,5,10 marla,residential
"Adyala Road, Rawalpindi",85 Lac,2,2,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",1.65 Crore,0,0,510 sqft,commercial
"I-8, Islamabad",22 Crore,0,0,2000 sqft,commercial
"DHA Phase 2, Lahore",14.2 Crore,5,5,1 kanal,residential
"I-14, Islamabad",3.2 Crore,5,6,7 marla,residential
"Bahria Town Phase 8, Rawalpindi",90 Lac,0,0,395 sqft,commercial
"Bahria Town Phase 5, Islamabad",4.1 Crore,5,6,10 marla,residential
"Bahria Town Phase 8, Block Ali, Rawalpindi",2.35 Crore,5,5,7 marla,residential
"Bahria Town Phase 8, Rawalpindi",1.75 Crore,0,0,516 sqft,commercial
"Faisal Margalla City, Islamabad",47 Lac,0,0,149 sqft,commercial
"Adyala Road, Rawalpindi",52 Lac,0,0,103 sqft,commercial
"Phase 8, Bahria Town, Sector M, Rawalpindi",2.1 Crore,4,4,8 marla,residential
"Bahria Town - Sector E , Lahore",1.45 Crore,0,0,410 sqft,commercial
"New Blue Area, Islamabad",5.3 Crore,Studio,1,684 sqft,commercial
"Phase 8, Bahria Town, Sector L, Rawalpindi",3.8 Crore,5,6,10 marla,residential
"Mall Road, Lahore",1 Arab,10+,10+,28 marla,commercial
"Bahria Town Phase 8, Rawalpindi",2.05 Crore,0,0,715 sqft,commercial
"Bahria Enclave, Islamabad",2.3 Crore,3,3,5 marla,residential
"DHA Phase 2, Islamabad",10.4 Crore,5,5,1 kanal,residential
"Bahria Town - Sector E , Lahore",1.5 Crore,0,0,400 sqft,commercial
"Bani Gala, Islamabad",2.5 Crore,6,5,7 marla,residential
"Bahria Town Phase 7, Rawalpindi",15 Crore,5,5,25 marla,residential
"DHA Town Phase 9, Lahore",3.14 Crore,4,5,5 marla,residential
"Bahria Town Phase 7, Rawalpindi",32 Lac,0,0,120 sqft,commercial
"Airport Housing Society, Sector 4, Rawalpindi",1.55 Crore,3,3,6 marla,residential
"Adyala Road, Rawalpindi",60 Lac,0,0,69 sqft,commercial
"Falcon Complex, Lahore",4.5 Crore,4,4,14 marla,residential
"Bahria Town Phase 8, Rawalpindi",3.5 Crore,0,0,2 marla,commercial
"Jubilee Town, Lahore",75 Lac,2,2,1000 sqft,residential
"DHA Phase 2, Lahore",12.2 Crore,5,5,1 kanal,residential
"Adyala Road, Rawalpindi",2.8 Crore,0,0,336 sqft,commercial
"Defence Villas, Rawalpindi",3.9 Crore,3,4,11 marla,residential
"Johar Town, Lahore",5.1 Crore,5,5,12 marla,residential
"Adyala Road, Rawalpindi",50 Lac,0,0,105 sqft,commercial
"DHA Phase 1, Sector F, Rawalpindi",9.75 Crore,0,0,3600 sqft,commercial
"F-11 Markaz, Islamabad",8 Arab,0,0,1600 sqyd,commercial
"Bahria Town - Sector E , Lahore",48000,1,1,450 sqft,residential
"Garrison Homes, Lahore",4 Crore,0,0,4 marla,commercial
"Eastern Housing Society, Lahore",2 Crore,1,1,5 marla,commercial
"Media Town, Islamabad",7 Crore,6,6,12 marla,residential
"Bahria Enclave, Sector A, Islamabad",11.1 Crore,10+,6,4 marla,commercial
"G-13/2, Islamabad",3.7 Crore,5,4,4 marla,residential
"Bahria Town Phase 8, Block Rafi, Rawalpindi",1.9 Crore,3,4,5 marla,residential
"Bahria Town - Sector F, Lahore",1.55 Crore,0,0,380 sqft,commercial
"Khayaban e Amin, Lahore",25 Crore,0,0,10.66 marla,commercial
"Bahria Town Phase 7, Rawalpindi",4 Crore,0,0,1280 sqft,commercial
"Multan Road, Lahore",7.5 Crore,5,5,12000 sqft,commercial
"Blue Area, Islamabad",8.07 Crore,0,0,1391 sqft,commercial
"Soan Garden, Islamabad",3.4 Crore,6,6,7 marla,residential
"Etihad Town, Lahore",7 Crore,0,0,8 marla,commercial
"Bahria Town Phase 8, Rawalpindi",4.6 Crore,5,5,10 marla,residential
"DHA Phase 6, Lahore",10 Crore,4,4,1 kanal,residential
"Bahria Town Phase 3, Islamabad",4.5 Crore,4,5,10 marla,residential
"Jubilee Town, Lahore",2.2 Crore,4,4,5 marla,residential
"Johar Town, Lahore",9 Crore,5,6,1 kanal,residential
"Bahria Town Phase 8, Sector H, Rawalpindi",4 Crore,5,6,10 marla,residential
"Eastern Housing Society, Lahore",2 Crore,0,0,5 marla,commercial
"MM Alam Road, Lahore",76230,0,0,128 sqft,commercial
"Jubilee Town, Lahore",2.3 Crore,4,4,5 marla,residential
"Adyala Road, Rawalpindi",38 Lac,0,0,1.15 marla,commercial
"Jubilee Town, Lahore",50000,0,0,1000 sqft,commercial
"Bahria Town Phase 8 Lakeview block, Rawalpindi",4.5 Crore,5,6,10 marla,residential
"Bahria Town Phase 7, Rawalpindi",17 Crore,5,5,25 marla,residential
"Bahria Town Phase 5, Islamabad",4 Crore,5,6,10 marla,residential
"DHA Phase 3, Lahore",1.5 Lac,3,3,1 kanal,residential
"Multi Gardens, B-17, Block-B, Islamabad",6.15 Crore,4,4,10 marla,residential
"TopCity-1 , Islamabad",42 Lac,Studio,1,255 sqft,commercial
"Jubilee Town, Lahore",80 Lac,2,2,600 sqft,residential
"Faisal Margalla City, Islamabad",55 Lac,0,0,158 sqft,commercial
"DHA Phase 2, Defence Residency, Islamabad",1.5 Crore,2,2,1509 sqft,residential
"DHA Phase 1, Sector F, Rawalpindi",1.25 Crore,1,1,476 sqft,commercial
"Phase 8, Bahria Town, Sector M, Rawalpindi",2 Crore,4,4,8 marla,residential
"Phase 8, Bahria Town, Sector G, Rawalpindi",3.55 Crore,5,6,10 marla,residential
"DHA Phase 2, Islamabad",9.5 Crore,5,5,1 kanal,residential
"Wapda Town Phase 1, Lahore",2.55 Crore,5,5,5 marla,residential
"Bahria Town Phase 4, Islamabad",4.35 Crore,5,6,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",4.2 Crore,5,5,10 marla,residential
"DHA Phase 2, Islamabad",10 Crore,5,5,1 kanal,residential
"Bani Gala, Islamabad",1.85 Crore,4,4,5 marla,residential
"Adyala Road, Rawalpindi",2.25 Crore,0,0,267 sqft,commercial
"DHA Phase 2, Islamabad",8.25 Crore,5,5,1 kanal,residential
"D-17, Islamabad",80 Lac,0,0,265 sqft,commercial
"Bahria Enclave, Islamabad",1.1 Crore,0,0,450 sqft,commercial
"Bahria Town Phase 6, Islamabad",4.8 Crore,5,6,10 marla,residential
"Bahria Town - Sector E , Lahore",60 Lac,1,1,400 sqft,residential
"Phase 8, Bahria Town, Sector M, Rawalpindi",2.2 Crore,4,4,8 marla,residential
"Adyala Road, Rawalpindi",66 Lac,0,0,130 sqft,commercial
"Jubilee Town, Lahore",2.2 Crore,4,4,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",51 Lac,0,0,200 sqft,commercial
"Bahria Town - Sector B, Lahore",1.9 Crore,4,4,5 marla,residential
"DHA Phase 2, Lahore",6.7 Crore,5,5,1 kanal,residential
"Faisal Margalla City, Islamabad",78 Lac,0,0,230 sqft,commercial
"Phase 8, Bahria Town, Sector N, Rawalpindi",1.5 Crore,3,4,5 marla,residential
"DHA Phase 2, Islamabad",8 Crore,4,5,1 kanal,residential
"DHA Phase 4, Lahore",8.1 Crore,5,5,1 kanal,residential
"Bahria Enclave, Sector N, Islamabad",1.5 Crore,4,4,8 marla,residential
"G-11, Islamabad",4 Crore,0,0,360 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",1.68 Crore,0,0,510 sqft,commercial
"DHA Phase 2, Defence Residency, Islamabad",90 Lac,2,2,804 sqft,residential
"LDA Avenue Phase 1, Lahore",3.2 Crore,5,6,10 marla,residential
"Phase 8, Bahria Town, Sector M, Rawalpindi",2.35 Crore,4,4,8 marla,residential
"Green Villas, Rawalpindi",1.2 Crore,4,4,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.1 Crore,3,3,5 marla,residential
"Punjab University Society Phase 2, Lahore",2.8 Crore,7,8,7 marla,residential
"Bahria Town Phase 8, Rawalpindi",1.05 Crore,0,0,410 sqft,commercial
"Jubilee Town, Lahore",50000,0,0,1000 sqft,commercial
"Bahria Town Phase 5, Islamabad",4.2 Crore,5,6,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",3 Crore,5,5,7 marla,residential
"Adyala Road, Rawalpindi",48 Lac,0,0,94 sqft,commercial
"Paragon City - Imperial 1 Block, Lahore",1.85 Crore,3,4,5 marla,residential
"Phase 8, Bahria Town, Sector G, Rawalpindi",3.85 Crore,5,6,10 marla,residential
"LDA Avenue Phase 1, Lahore",3.2 Crore,5,6,10 marla,residential
"Adyala Road, Rawalpindi",55 Lac,0,0,98 sqft,commercial
"F-7/2, Islamabad",55 Crore,0,0,6 marla,commercial
"Bahria Town Phase 8, Sector H, Rawalpindi",4.3 Crore,5,6,10 marla,residential
"DHA Phase 8, Lahore",3.14 Crore,4,5,5 marla,residential
"Bahria Enclave, Islamabad",2.2 Crore,4,4,5 marla,residential
"Johar Town, Lahore",2.5 Crore,5,5,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",70 Lac,0,0,170 sqft,commercial
"Faisal Town, F-18 , Islamabad",2.8 Crore,4,4,5 marla,residential
"Bani Gala, Islamabad",3.5 Crore,5,5,10 marla,residential
"Bahria Town Phase 8, Sector C, Rawalpindi",4.8 Crore,5,6,10 marla,residential
"DHA Phase 2, Defence Residency, Islamabad",1.2 Crore,1,1,1074 sqft,residential
"D-17, Islamabad",25 Crore,9,10+,5 kanal,residential
"Bahria Town Phase 8, Rawalpindi",2.45 Crore,3,5,7 marla,residential
"Bani Gala, Islamabad",1.9 Crore,4,4,5 marla,residential
"Wapda Town Phase 1, Lahore",2.6 Crore,5,5,5 marla,residential
"G-13/4, Islamabad",8.95 Crore,6,6,10 marla,residential
"Marwa Town, Islamabad",3 Crore,0,0,6 marla,commercial
"Bahria Town Phase 8, Rawalpindi",4.35 Crore,5,5,10 marla,residential
"Adyala Road, Rawalpindi",1.4 Crore,0,0,164 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",3 Crore,5,5,7 marla,residential
"Bahria Town - Sector E , Lahore",1.85 Crore,4,4,5 marla,residential
"Faisal Margalla City, Islamabad",47 Lac,0,0,164 sqft,commercial
"F-7, Islamabad",42 Crore,0,4,12 marla,commercial
"DHA Phase 6, Lahore",10 Lac,0,0,450 sqft,commercial
"Johar Town, Lahore",2.8 Crore,5,5,5 marla,residential
"Bahria Enclave, Islamabad",13 Crore,0,0,5 marla,commercial
"DHA Phase 2, Islamabad",10.25 Crore,5,5,1 kanal,residential
"Bahria Town Phase 8, Sector C, Rawalpindi",4.85 Crore,5,6,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",48 Lac,1,0,332 sqft,commercial
"Faisal Margalla City, Islamabad",57 Lac,0,0,179 sqft,commercial
"Adyala Road, Rawalpindi",50 Lac,0,0,110 sqft,commercial
"Adyala Road, Rawalpindi",86 Lac,0,0,2.5 marla,commercial
"Bahria Town Phase 1, Islamabad",1.08 Crore,0,0,453 sqft,commercial
"Soan Garden, Islamabad",3.5 Crore,4,5,7 marla,residential
"DHA Phase 2, Islamabad",9.5 Crore,5,5,1 kanal,residential
"Clifton Township, Rawalpindi",95 Lac,2,2,5 marla,residential
"Jubilee Town, Lahore",60 Lac,1,1,520 sqft,residential
"Bhara Kahu, Islamabad",65 Lac,4,4,4 marla,residential
"Adyala Road, Rawalpindi",40 Lac,0,0,1.25 marla,commercial
"Bahria Enclave, Islamabad",2.2 Crore,3,3,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",2 Crore,3,3,5 marla,residential
"DHA Town Phase 9, Lahore",3.16 Crore,4,5,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",4 Crore,5,5,10 marla,residential
"Jubilee Town, Lahore",60 Lac,1,1,520 sqft,residential
"Bahria Town - Sector E , Lahore",4.95 Crore,4,4,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",1.9 Crore,0,0,502 sqft,commercial
"F-10 Markaz, Islamabad",2.1 Crore,0,0,750 sqft,commercial
"DHA Town Phase 9, Lahore",3.14 Crore,4,5,5 marla,residential
"DHA Phase 2, Islamabad",8.75 Crore,5,5,1 kanal,residential
"Adyala Road, Rawalpindi",95 Lac,0,0,109 sqft,commercial
"Daroghe Wala, Lahore",11.5 Crore,0,0,46 marla,commercial
"G-8 Markaz, Islamabad",2.15 Crore,0,0,409 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",70 Lac,0,0,510 sqft,commercial
"LDA Avenue Phase 1, Lahore",3.25 Crore,5,6,10 marla,residential
"Johar Town, Lahore",8.2 Crore,5,6,1 kanal,residential
"Adyala Road, Rawalpindi",1.9 Crore,3,4,5 marla,residential
"Bahria Town Phase 7, Rawalpindi",4.8 Crore,5,6,10 marla,residential
"Bani Gala, Islamabad",3.5 Crore,5,5,1 kanal,residential
"Bahria Town - Sector E , Lahore",1.45 Crore,0,0,410 sqft,commercial
"Gulberg Greens, Islamabad",31.5 Crore,0,0,10000 sqft,commercial
"Bahria Town Phase 8, Sector J, Rawalpindi",3.85 Crore,5,6,10 marla,residential
"Sangar Town, Rawalpindi",7 Crore,0,0,6.5 marla,commercial
"Bahria Town Phase 6, Islamabad",4.6 Crore,5,6,10 marla,residential
"Bahria Town - Sector D, Lahore",1.95 Crore,3,4,5 marla,residential
"Bahria Enclave, Islamabad",2.2 Crore,3,3,5 marla,residential
"Bahria Enclave, Sector A, Islamabad",11.1 Crore,10+,6,4 marla,commercial
"Adyala Road, Rawalpindi",75 Lac,0,0,1.15 marla,commercial
"Bani Gala, Islamabad",2.2 Crore,4,4,5 marla,residential
"DHA Phase 2, Islamabad",10.25 Crore,5,5,1 kanal,residential
"Adyala Road, Rawalpindi",25 Lac,0,0,44 sqft,commercial
"Park View City, Lahore",3.5 Crore,4,4,10 marla,residential
"Bahria Town - Sector C , Lahore",30000,3,4,5 marla,residential
"DHA Phase 6, Lahore",16.5 Crore,4,4,1 kanal,residential
"Bahria Town Phase 8, Rawalpindi",2.6 Crore,5,5,7 marla,residential
"Jubilee Town, Lahore",60 Lac,1,1,520 sqft,residential
"PIA Main Boulevard, Lahore",15 Crore,0,0,1 kanal,commercial
"I-10, Islamabad",2.5 Crore,0,0,300 sqft,commercial
"Bahria Town Phase 8, Sector C, Rawalpindi",5 Crore,5,6,10 marla,residential
"Jubilee Town, Lahore",60 Lac,1,1,520 sqft,residential
"Jubilee Town, Lahore",60 Lac,1,1,520 sqft,residential
"Lytton Road, Lahore",65 Lac,0,0,1 marla,commercial
"Bahria Town - Sector E , Lahore",1.88 Crore,3,4,5 marla,residential
"Jubilee Town, Lahore",50000,0,0,1000 sqft,commercial
"Bahria Town Phase 4, Islamabad",4.3 Crore,5,6,10 marla,residential
"Bahria Town Phase 8, Block Ali, Rawalpindi",2.6 Crore,4,5,7 marla,residential
"Allama Iqbal Town - Huma Block, Lahore",4.8 Crore,5,2,4.5 marla,commercial
"Commercial Market, Rawalpindi",14 Lac,0,0,137 sqft,commercial
"Johar Town, Lahore",2.75 Crore,5,5,5 marla,residential
"TopCity-1 , Islamabad",85 Lac,0,0,318 sqft,commercial
"Adyala Road, Rawalpindi",80 Lac,0,0,146 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",2.05 Crore,0,0,710 sqft,commercial
"DHA Phase 2, Islamabad",9.85 Crore,5,5,1 kanal,residential
"Bahria Town Phase 8, Rawalpindi",5.3 Crore,5,5,12 marla,residential
"Allama Iqbal Town - Huma Block, Lahore",4.8 Crore,5,2,4.5 marla,commercial
"Bahria Enclave, Islamabad",4 Crore,4,4,8 marla,residential
"Bahria Town Phase 4, Islamabad",4.25 Crore,5,6,10 marla,residential
"Adyala Road, Rawalpindi",85 Lac,2,2,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",1 Crore,2,2,890 sqft,residential
"Bahria Town Phase 8, Block Umer, Rawalpindi",2.85 Crore,4,5,7 marla,residential
"DHA Phase 2, Islamabad",10 Crore,5,5,1 kanal,residential
"Adyala Road, Rawalpindi",40 Lac,0,0,89.25 sqft,commercial
"Bahria Town - Sector E , Lahore",1.65 Crore,1,1,450 sqft,residential
"Bahria Enclave, Islamabad",8 Crore,5,5,12 marla,residential
"Bahria Town Phase 8, Rawalpindi",3.9 Crore,5,5,10 marla,residential
"Bahria Town Phase 8, Block Umer, Rawalpindi",2.75 Crore,4,5,7 marla,residential
"Khanna Pul, Islamabad",52.5 Lac,0,0,120 sqft,commercial
"Bahria Orchard, Lahore",4.5 Crore,4,4,10 marla,residential
"Adyala Road, Rawalpindi",85 Lac,0,0,101 sqft,commercial
"Bahria Enclave, Islamabad",5.5 Crore,8,8,10 marla,residential
"LDA Avenue Phase 1, Lahore",3.6 Crore,5,6,10 marla,residential
"G-13, Islamabad",45 Crore,0,0,22 marla,commercial
"Bahria Town Phase 8, Rawalpindi",4.4 Crore,5,5,10 marla,residential
"Adyala Road, Rawalpindi",46 Lac,0,0,98.56 sqft,commercial
"Punjab Small Industries Cooperative Housing Society, Lahore",45000,2,2,7 marla,residential
"Bahria Town Phase 4, Islamabad",65 Lac,1,1,514 sqft,residential
"Johar Town, Lahore",2.5 Crore,5,5,5 marla,residential
"Johar Town, Lahore",3.9 Crore,5,5,10 marla,residential
"DHA Phase 3, Islamabad",2.25 Crore,3,4,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",62 Lac,0,0,425 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",50 Lac,0,0,113 sqft,commercial
"Adyala Road, Rawalpindi",45 Lac,0,0,80 sqft,commercial
"Johar Town, Lahore",2.5 Crore,5,5,5 marla,residential
"Bahria Town - Sector E , Lahore",1.6 Crore,0,0,380 sqft,commercial
"DHA Phase 6, Lahore",8 Crore,4,4,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",3.25 Crore,5,5,7 marla,residential
"Bahria Town - Sector E , Lahore",1.99 Crore,4,5,5 marla,residential
"Sector O-9, National Police Foundation, Islamabad",50 Lac,0,0,234 sqft,commercial
"Gulshan Abad, Rawalpindi",3.5 Crore,3,3,1 kanal,residential
"Bahria Town Phase 8, Sector C, Rawalpindi",4.75 Crore,5,6,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",2 Crore,0,0,710 sqft,commercial
"Soan Garden, Islamabad",3.8 Crore,5,6,10 marla,residential
"Faisal Margalla City, Islamabad",2.85 Crore,4,4,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",1.65 Crore,0,0,499 sqft,commercial
"Bahria Town Phase 3, Islamabad",4.8 Crore,5,6,10 marla,residential
"DHA Phase 2, Islamabad",5.8 Crore,5,5,10 marla,residential
"Bahria Town Phase 8, Block D , Rawalpindi",4.4 Crore,5,6,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",2 Crore,0,0,710 sqft,commercial
"E-11, Islamabad",16 Crore,0,0,3200 sqft,commercial
"Bahria Town Phase 4, Islamabad",2.2 Crore,0,0,10 marla,commercial
"Gulshan Abad, Rawalpindi",1.65 Crore,3,3,10 marla,residential
"PWD, Block C, Islamabad",55,6,6,12 marla,residential
"Canal Bank Road, Lahore",20 Crore,10+,10+,1 kanal,commercial
"Jubilee Town, Lahore",50000,0,0,1000 sqft,commercial
"Bahria Enclave, Islamabad",90 Lac,0,0,450 sqft,commercial
"DHA Phase 2, Islamabad",9 Crore,5,5,1 kanal,residential
"DHA Phase 2, Islamabad",6 Crore,5,5,10 marla,residential
"Jubilee Town, Lahore",60 Lac,1,1,520 sqft,residential
"Satellite Town, Block B, Rawalpindi",8.2 Crore,6,4,8.75 marla,commercial
"DHA Phase 2, Islamabad",10.5 Crore,5,5,1 kanal,residential
"Adyala Road, Rawalpindi",36 Lac,0,0,70 sqft,commercial
"DHA Phase 6, Lahore",12.85 Crore,4,4,1 kanal,residential
"Bahria Town - Sector F, Lahore",1.6 Crore,0,0,400 sqft,commercial
"Bahria Town Phase 8, Block Rafi, Rawalpindi",3.5 Crore,4,5,8 marla,residential
"Bahria Town Phase 7, Rawalpindi",14 Crore,5,5,25 marla,residential
"F-8 Markaz, Islamabad",4.5 Crore,0,0,2.3 marla,commercial
"Bahria Town Phase 8, Rawalpindi",1.3 Crore,0,0,6 marla,commercial
"Bahria Town Phase 4, Islamabad",4.1 Crore,5,6,10 marla,residential
"DHA Phase 4, Lahore",7.3 Crore,5,5,1 kanal,residential
"Bahria Town Phase 8, Rawalpindi",4.7 Crore,5,5,10.5 marla,residential
"Bahria Town Phase 5, Islamabad",4.25 Crore,5,6,10 marla,residential
"G-11, Islamabad",4.1 Crore,5,5,5 marla,residential
"Johar Town, Lahore",2.3 Crore,5,5,5 marla,residential
"Bahria Enclave, Sector N, Islamabad",2.25 Crore,3,3,5 marla,residential
"Adyala Road, Rawalpindi",32 Lac,0,0,61 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",51 Lac,0,0,114 sqft,commercial
"PIA Main Boulevard, Lahore",18 Crore,2,3,2 kanal,commercial
"Bahria Town Phase 8, Rawalpindi",95 Lac,2,2,890 sqft,residential
"Bahria Town Phase 8, Rawalpindi",3 Crore,5,5,7 marla,residential
"Mazang, Lahore",4 Crore,0,0,400 sqft,commercial
"Adyala Road, Rawalpindi",85 Lac,0,0,2.5 marla,commercial
"Adyala Road, Rawalpindi",32 Lac,0,0,54 sqft,commercial
"Bahria Town - Sector E , Lahore",62 Lac,1,1,390 sqft,residential
"Bahria Town Phase 8, Rawalpindi",92 Lac,0,0,395 sqft,commercial
"Bahria Town - Sector E , Lahore",4.95 Crore,4,5,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",4.5 Crore,5,5,10 marla,residential
"Bahria Town Phase 4, Islamabad",4.5 Crore,5,6,10 marla,residential
"DHA Phase 4, Lahore",7.4 Crore,6,6,1 kanal,residential
"Bahria Enclave, Sector B1, Islamabad",2.27 Crore,0,0,5 marla,commercial
"G-8, Islamabad",2.95 Crore,0,0,480 sqft,commercial
"Phase 8, Bahria Town, Sector G, Rawalpindi",3.6 Crore,5,6,10 marla,residential
"Bahria Town Phase 2, Islamabad",9.5 Crore,5,6,1 kanal,residential
"DHA Phase 2, Islamabad",9.25 Crore,5,5,1 kanal,residential
"Bahria Town Phase 8, Sector E1, Rawalpindi",2.25 Crore,3,3,6 marla,residential
"DHA Phase 6, Lahore",10 Crore,4,4,1 kanal,residential
"Bahria Town Phase 7, Rawalpindi",27 Lac,0,0,110 sqft,commercial
"Park View City, Lahore",1.5 Crore,4,4,5 marla,residential
"DHA Phase 4, Lahore",4.9 Crore,2,2,1350 sqft,residential
"DHA Phase 2, Islamabad",9.2 Crore,5,5,1 kanal,residential
"I-9, Islamabad",40 Crore,0,0,4.4 marla,commercial
"Jubilee Town, Lahore",60 Lac,1,1,520 sqft,residential
"DHA Phase 2, Islamabad",9 Crore,5,5,1 kanal,residential
"Phase 8, Bahria Town, Sector L, Rawalpindi",3.75 Crore,5,6,10 marla,residential
"DHA Phase 4, Lahore",4.9 Crore,2,2,1350 sqft,residential
"Bahria Town Phase 4, Islamabad",5.4 Crore,5,6,10 marla,residential
"Chaklala Scheme 3, Rawalpindi",2 Crore,7,7,5 marla,residential
"Phase 8, Bahria Town, Sector L, Rawalpindi",3.7 Crore,5,6,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.95 Crore,5,5,7 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.15 Crore,3,3,5 marla,residential
"DHA Town Phase 9, Lahore",3.14 Crore,4,5,5 marla,residential
"Airport Housing Society, Sector 4, Rawalpindi",3.1 Crore,6,6,8 marla,residential
"Jubilee Town, Lahore",2.48 Crore,4,4,5 marla,residential
"Wapda Town Phase 1, Lahore",2.5 Crore,5,5,5 marla,residential
"Faisal Margalla City, Islamabad",57 Lac,0,0,155 sqft,commercial
"Faisal Margalla City, Islamabad",81 Lac,0,0,230 sqft,commercial
"DHA Phase 6, Lahore",7.5 Crore,4,4,10 marla,residential
"Bahria Town Phase 7, Rawalpindi",16.5 Crore,5,5,25 marla,residential
"Bahria Town Phase 8 Lakeview block, Rawalpindi",4.65 Crore,5,6,10 marla,residential
"Jubilee Town, Lahore",50000,0,0,1000 sqft,commercial
"LDA Avenue Phase 1, Lahore",3.25 Crore,6,5,10 marla,residential
"DHA Phase 3, Islamabad",4.9 Crore,5,6,10 marla,residential
"Bahria Enclave, Sector B1, Islamabad",3 Crore,4,4,5 marla,residential
"Bahria Town Phase 7, Rawalpindi",1.2 Crore,0,0,797 sqft,commercial
"G-13/2, Islamabad",45 Crore,0,0,4300 sqft,commercial
"Bahria Town Phase 3, Islamabad",4.7 Crore,5,6,10 marla,residential
"Wapda Town Phase 1, Lahore",4.8 Crore,5,5,10 marla,residential
"Bahria Town - Sector F, Lahore",1.98 Crore,3,4,5 marla,residential
"Bahria Town - Sector D, Lahore",1.92 Crore,3,4,5 marla,residential
